"...1","...2","...3","...4","...5","...6","243","Consolidado por Entidad del Número de Beneficiarios","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66","...67","...68"
"28","TAMAULIPAS","695804","4494951","10","26","17","1362","0","48","0","0","0","0","1","0","61","227","2009","4183","21","9","6","0","0","0","0","1","836","1383","1320","0","0","0","0","0","0","0","0","0","0","4410","0","0","3","0","0","8","0","6843","6467","4535","0","2900","245903","1110436","1140719","1213356","0","1120","681924","13","32","52648","4115","4057","3994","1"
"29","TLAXCALA","263388","4044881","10","29","17","1076","0","24","0","3","2","0","2","0","2","75","347","709","4","6","10","0","0","1","0","1","155","277","247","0","19","1","1","1","0","3","0","0","0","17818","0","0","0","0","0","0","0","10688","10191","6934","0","878","13","1241303","1244261","1247225","71","0","228058","3","14","21310","4457","4362","4329","0"
"30","VERACRUZ DE IGNACIO DE LA LLAVE","2590666","11860026","10","40","20","1720","9","51204","8568","111","36","75","1","0","264","1105","2170","3797","48","69","26","21","0","1","20","2","581","696","279","0","26","2","2","2","27","0","0","10","18","58580","0","0","216","0","0","1","12","19796","19828","13251","0","3189","1464363","2679923","2697458","2709118","58","0","1762020","884","61","173830","62400","62223","61696","229"
"31","YUCATÁN","757900","3538140","8","33","15","1063","0","19872","408","68","20","3","0","0","0","282","781","1392","55","57","33","9","0","1","6","3","303","282","282","0","24","2","2","2","15","0","0","0","10","0","0","0","114","0","0","1","0","4695","4573","3119","0","1448","459820","831124","833180","835248","11","778","454804","2","0","56048","9476","9393","9331","0"
"32","ZACATECAS","754467","5839757","9","27","15","1098","0","72","204","0","0","0","0","0","3","211","1302","4338","6","9","3","3","0","0","0","2","28","27","27","0","14","0","0","0","0","3","0","0","0","43410","0","0","0","0","0","0","0","4313","4255","2764","0","1694","433362","1646372","1652229","1663819","63","6747","347152","9","0","25644","132","132","132","178"
"99","NO ESPECIFICADO","632","1977","4","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","95","0","1006","854","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Para facilitar la interpretación de este documento, es importante considerar lo siguiente :",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1Beneficiarios: Número de personas que recibieron al menos un apoyo por parte de los Programas Federales y Estatales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2Intervenciones: Número de apoyos entregados a través de los Programas Federales y Estatales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3Dependencias: Número de dependencias que aportan información para la integración del PUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4Padrones: Número de padrones integrados al PUB, los cuales son los conjuntos de registros de los apoyos entregados por un Programa Federal o Estatal de un periodo determinado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5Programas : Número de Programas Federales y Estatales que aportan información para la integración del PUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nota: Dado que las personas pueden recibir apoyos a través de diferentes Programas Federales y Estatales, la sumatoria por estado o municipio del número de beneficiarios podría no coincidir con el total de personas diferentes apoyadas a nivel general",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
