"actividades legislativas","Actividades primarias","Comercio al por mayor","construcción","Corporativos","Enegía ","Industria manufactureras","Información en medios masivos","Minería ","Servicios de apoyo ","Servicios de esparcimiento","Salud","Servicios educativos","Servicios financieros y seguros","Servicios inmobiliarios ","Servicios profesionales y técnicos ","Transporte","Comercio al pormenor","Servicios no gubernamentales","Servicios de alojamiento y alimentación"
20,0,16,2,0,3,66,5,0,5,11,25,18,7,9,8,7,292,99,106
11,0,0,0,0,1,2,1,3,1,2,3,5,1,0,0,0,30,6,9
35,0,22,0,0,4,41,5,1,1,7,19,15,5,3,9,7,197,76,75
11,0,7,1,0,1,35,1,0,4,6,11,19,2,5,5,1,186,50,53
35,3,55,0,0,5,117,5,0,5,15,38,19,9,15,12,11,435,166,177
50,1,32,0,0,5,247,7,0,9,38,69,57,22,22,34,14,908,336,273
25,0,23,0,1,2,59,6,1,6,8,24,13,5,7,6,7,261,107,112
13,0,0,0,0,1,3,1,0,0,1,3,4,0,0,0,0,20,5,4
10,2,3,3,0,3,30,2,2,6,6,6,15,6,2,2,9,165,47,74
9,0,7,0,0,1,16,3,0,0,1,7,7,2,4,2,1,101,18,30
13,0,8,0,0,2,33,1,3,4,5,10,10,5,0,2,3,156,51,59
7,0,2,0,0,1,12,3,0,0,1,5,7,1,2,2,1,44,19,17
13,0,1,0,0,1,1,1,0,0,1,3,5,1,0,0,0,16,4,2
10,0,3,0,0,1,33,2,0,2,2,11,10,2,3,3,2,110,34,34
62,4,44,5,0,5,231,7,5,12,29,106,49,24,22,36,15,1044,392,337
16,0,6,2,0,1,40,2,0,4,6,4,12,3,6,3,3,135,34,50
18,0,6,0,0,1,26,1,0,3,2,9,8,3,3,0,3,136,56,65
30,0,10,1,0,3,57,2,1,4,4,22,12,4,5,6,6,203,100,103
15,1,15,1,2,4,57,3,0,6,14,18,22,13,15,2,6,284,103,118
18,0,0,0,0,1,9,1,8,4,0,5,5,1,1,0,1,71,17,36
30,0,56,2,0,3,178,9,0,9,31,89,36,35,28,21,20,883,331,265
43,2,40,2,0,3,113,6,0,10,8,57,26,18,13,21,8,497,200,168
33,1,84,9,0,4,300,9,1,28,31,100,42,34,43,28,20,1108,335,275
56,9,139,15,0,8,508,23,3,50,69,376,124,74,87,150,34,2640,856,692
64,6,127,38,0,7,649,23,0,48,87,346,153,114,128,191,59,3602,913,1134
48,1,73,3,0,4,359,11,0,24,30,132,56,37,30,46,18,1513,411,344
31,2,65,9,0,7,390,13,0,28,29,135,88,41,41,66,28,1808,472,455
18,0,1,0,0,0,2,1,0,0,1,3,4,1,1,0,0,23,3,5
123,11,694,129,3,23,1672,81,1,256,227,1314,596,453,286,416,163,9721,3151,2481
29,2,55,3,0,2,208,6,0,13,15,63,28,14,28,37,5,727,278,231
53,1,41,2,0,4,286,10,1,38,23,125,65,31,35,39,12,1517,366,268
35,1,14,0,0,2,42,4,0,7,4,26,15,6,6,14,7,308,97,86
40,0,94,10,0,5,513,13,0,50,78,220,108,46,115,84,20,2424,728,722
13,0,69,7,0,2,184,10,0,14,12,88,18,16,39,31,8,862,307,259
23,0,19,0,0,2,67,7,0,4,6,49,13,8,8,12,5,340,133,70
82,2,99,24,0,7,1049,25,2,43,79,294,119,57,90,189,33,3012,952,821
440,2,109,65,0,16,809,48,10,84,131,455,245,176,101,192,53,3713,1170,1374
18,0,39,2,0,1,99,6,0,10,13,37,12,8,16,14,6,314,110,85
165,6,922,165,2,20,2048,72,5,282,325,1495,658,438,486,590,177,12388,4136,3296
25,0,48,2,0,4,176,7,0,14,29,75,31,32,38,20,6,909,222,212
42,2,48,0,0,2,123,6,1,8,6,53,20,24,16,26,14,613,159,137
500,12,4469,462,8,57,12346,209,8,1077,931,4287,1707,1296,1282,1758,602,35217,13031,11105
38,2,164,6,0,5,1435,13,1,56,81,285,88,52,79,169,37,3250,695,585
17,0,15,1,0,2,101,6,0,5,11,31,19,16,9,8,8,385,129,112
91,2,266,21,0,6,542,19,1,47,54,334,100,64,116,122,47,2775,920,723
13,0,26,0,0,3,30,7,0,2,7,37,7,5,11,11,6,246,70,55
41,3,130,12,0,5,1312,5,0,23,47,79,88,20,53,38,14,1440,463,619
34,1,49,1,0,3,248,9,0,21,29,85,35,21,31,39,10,986,309,206
84,5,260,67,1,15,842,44,4,95,192,575,311,212,238,202,97,4901,1775,1491
37,0,122,9,0,12,434,12,1,41,57,284,124,42,83,85,23,2508,724,675
31,0,20,1,0,2,92,7,1,5,10,54,19,18,17,12,6,461,134,115
56,3,83,7,1,14,357,14,2,24,44,133,71,40,62,54,25,2051,539,452
80,3,513,32,0,6,2349,19,3,92,108,311,141,87,125,199,51,3343,1267,1277
53,2,93,20,0,4,405,16,6,46,33,229,156,73,56,114,37,2262,690,563
86,0,114,15,1,7,463,14,5,47,53,237,107,53,80,100,38,2492,834,592
10,0,5,1,0,2,28,3,0,2,3,10,8,2,2,4,1,155,33,50
32,1,86,3,0,5,340,7,1,16,38,127,64,32,71,49,23,1761,462,412
14,0,6,0,0,2,27,2,0,3,9,17,12,3,6,4,4,139,39,48
94,0,247,48,1,12,860,20,1,121,88,289,196,155,160,132,105,3763,1110,874
43,3,21,0,0,4,68,7,1,5,11,35,13,4,8,10,3,287,83,69
16,1,48,2,0,5,169,6,1,11,15,75,34,13,23,18,7,670,192,188
17,0,7,1,0,1,36,3,0,4,6,28,16,4,2,10,2,177,48,63
38,0,136,6,0,3,1490,21,1,35,62,203,68,37,90,90,24,2791,676,516
66,1,127,15,0,3,504,13,8,48,47,269,111,63,90,99,21,2423,746,557
24,1,8,0,0,1,36,1,1,4,5,24,12,6,4,7,4,212,65,70
37,2,47,12,0,4,295,16,1,28,43,89,80,35,84,26,24,1633,420,412
22,0,7,0,0,0,21,2,0,4,2,15,7,3,1,2,0,137,32,55
38,8,106,0,0,6,355,12,0,33,34,150,58,30,46,69,15,1406,363,330
335,110,746,146,1,92,3354,89,3,322,348,1463,986,612,398,561,210,16525,5967,7042
6,0,7,0,0,1,66,0,0,4,2,5,7,1,1,1,3,216,34,47
19,11,18,0,0,3,304,2,1,16,22,43,33,5,21,5,9,531,207,231
16,3,14,0,0,1,48,2,0,3,5,11,11,3,4,2,3,218,38,59
6,0,19,0,0,1,127,4,1,2,9,14,16,3,5,1,2,289,52,71
6,27,11,0,0,5,117,5,0,6,11,22,20,2,7,4,7,256,73,81
46,3,64,0,0,4,236,8,1,19,32,100,48,12,21,18,21,985,323,284
9,1,8,0,0,2,45,0,0,3,3,7,8,1,0,1,2,117,31,46
10,0,0,0,0,1,49,0,0,0,0,4,9,1,0,0,0,37,5,8
7,0,7,0,0,1,50,1,0,4,2,8,10,2,0,1,2,218,27,23
57,5,62,2,0,4,304,6,4,19,21,95,72,36,14,18,17,1286,368,367
51,18,65,0,0,4,194,5,0,31,20,89,54,27,13,30,20,1117,247,302
11,1,15,0,0,1,74,2,2,1,4,8,16,3,4,3,3,229,55,84
20,31,23,1,0,1,127,4,0,2,12,35,17,6,7,6,5,348,106,130
5,0,17,1,0,1,215,3,2,5,11,27,18,6,11,9,4,231,100,97
15,13,3,0,0,2,13,2,0,2,2,7,5,1,0,0,1,74,27,24
15,24,13,0,0,4,73,2,2,1,10,23,19,3,4,7,1,238,93,109
8,13,19,0,0,2,133,6,118,5,4,22,18,3,9,3,7,359,104,167
7,0,13,0,0,0,922,1,0,1,3,11,15,3,1,2,3,222,50,43
5,0,3,0,0,3,51,0,0,6,6,8,10,1,1,0,4,174,31,48
33,69,54,0,0,3,290,4,4,12,20,79,47,15,8,16,16,994,271,326
53,0,10,1,0,1,79,4,0,7,16,29,23,6,9,8,5,272,126,139
21,0,59,1,0,1,203,3,3,11,12,46,22,10,10,10,14,541,212,235
6,0,4,0,0,1,31,2,0,2,3,7,4,3,0,0,0,89,29,19
5,0,12,0,0,1,70,1,0,4,5,13,8,1,1,0,3,184,34,74
5,0,2,0,0,1,27,1,0,2,3,5,7,0,1,0,0,87,25,14
8,29,12,0,0,2,47,4,0,7,10,17,10,7,8,6,5,189,94,97
63,0,128,5,0,6,2797,3,14,41,35,144,115,22,25,34,42,3099,624,568
335,3,341,108,0,27,2192,54,5,111,157,846,455,237,151,254,114,7907,2656,2375
17,69,41,0,0,1,144,3,0,12,11,36,31,16,6,3,16,671,179,230
6,0,3,0,0,1,27,0,0,1,3,4,6,1,1,2,0,62,26,11
9,7,27,0,0,7,167,4,0,3,10,30,18,1,6,3,3,479,128,105
11,0,18,0,0,2,143,5,1,10,8,29,20,8,9,12,12,405,107,137
23,0,45,1,1,4,519,7,0,16,19,66,50,11,17,23,16,943,249,253
125,5,222,24,0,19,956,19,1,77,91,400,298,117,102,152,59,4623,1567,1471
3,1,4,0,0,1,69,0,25,0,2,2,10,4,1,2,3,156,37,57
6,0,7,0,0,1,121,1,1,4,6,13,6,1,4,0,0,138,47,30
80,11,110,21,0,12,595,21,0,63,81,275,158,105,95,109,55,3287,1099,1398
26,3,24,0,0,2,93,1,0,6,11,43,26,12,9,1,12,496,145,163
13,0,26,0,0,1,1427,5,0,3,19,35,32,6,11,4,2,537,144,116
11,0,1,0,0,1,5,1,0,0,1,3,5,1,0,1,0,66,9,20
5,0,6,0,0,1,623,2,0,5,8,15,13,5,5,3,3,221,58,92
18,3,15,0,0,1,51,1,0,2,6,10,16,0,0,2,2,330,36,54
7,0,12,0,0,2,75,2,1,1,8,14,13,3,5,2,1,257,54,75
19,0,19,3,0,4,559,3,0,13,9,42,23,7,2,3,9,675,114,117
70,31,101,9,0,7,2251,6,25,46,29,144,111,50,19,42,21,1956,555,698
4,0,5,0,0,1,24,0,0,0,1,4,4,0,0,0,0,42,10,9
24,16,36,1,0,3,263,9,21,7,32,77,48,17,24,15,10,1011,349,384
11,0,15,0,0,3,204,2,1,4,9,19,10,1,8,1,1,274,71,114
42,1,81,2,0,4,362,14,0,38,35,164,60,39,20,44,22,1577,565,555
12,0,34,0,0,3,155,5,0,8,15,36,25,6,9,3,4,556,130,141
57,2,31,0,0,3,891,5,0,25,14,48,54,16,8,12,10,1012,165,343
29,10,50,2,0,6,249,6,0,14,15,54,36,17,17,12,8,852,225,314
8,0,19,0,0,1,61,2,0,2,4,16,10,5,5,0,3,122,57,44
68,0,186,5,0,5,2677,14,2,32,48,192,124,42,41,69,35,4101,624,635
17,4,20,0,0,1,94,3,0,5,1,26,17,7,0,0,7,370,67,94
74,29,93,3,0,6,525,7,3,25,34,117,79,31,24,33,26,1548,508,630
41,0,88,1,0,4,320,4,1,14,12,86,58,17,25,19,23,847,343,299
11,17,10,0,0,2,117,4,5,7,10,21,26,5,5,3,3,214,96,81
11,0,7,0,0,2,98,1,0,5,3,12,8,4,3,1,0,142,35,66
15,1,44,1,0,7,934,8,13,18,30,93,51,11,24,19,7,1154,272,328
7,0,6,0,0,1,571,1,0,3,8,14,15,3,5,0,0,240,45,59
13,2,3,0,0,1,10,1,0,1,1,4,6,2,0,0,0,68,15,14
7,0,10,0,0,1,51,4,0,2,5,11,11,1,6,3,2,130,62,62
7,0,3,0,0,1,24,1,1,2,2,6,6,0,0,1,2,151,30,24
114,4,152,9,0,5,634,9,5,75,43,207,147,42,26,82,67,3261,703,684
16,0,19,1,0,1,235,7,0,16,17,49,24,13,15,7,11,408,163,186
44,22,10,0,0,5,47,3,0,2,12,19,14,13,3,5,5,242,96,102
5,0,1,0,0,1,186,0,0,2,0,4,8,1,1,0,1,138,17,17
4,0,11,0,0,1,342,2,0,1,2,12,10,2,5,3,3,253,64,97
24,1,10,0,0,8,904,5,0,9,9,18,19,7,2,4,0,395,65,110
12,0,2,0,0,1,19,2,0,4,1,6,5,2,0,1,1,128,18,22
16,20,13,0,0,2,54,3,0,3,10,15,9,2,2,1,8,201,72,83
12,0,9,0,0,1,1747,3,0,8,6,5,22,2,1,1,0,321,52,55
27,2,52,3,0,12,1473,4,11,21,41,89,71,9,32,12,6,1447,398,496
16,3,10,0,0,2,18,1,0,4,0,8,4,5,0,2,1,198,35,29
10,5,30,1,0,1,118,5,0,7,5,30,17,11,2,4,3,500,121,177
10,0,4,0,0,1,19,0,0,1,2,1,9,0,0,0,2,129,29,10
3,0,11,0,0,2,81,0,0,4,3,3,8,0,1,0,0,107,22,24
4,0,9,0,0,1,51,2,6,2,7,6,14,0,7,4,2,149,49,40
8,1,3,0,0,1,27,2,0,6,1,8,4,4,0,1,0,215,21,52
4,16,11,0,0,4,60,0,0,5,7,10,10,4,6,3,3,225,39,84
5,0,0,0,0,0,2,0,0,0,0,3,4,0,0,0,0,0,1,0
8,0,0,0,0,0,9,2,0,2,0,3,8,1,1,0,0,84,7,18
2,6,6,0,0,1,61,2,0,2,4,10,7,0,3,1,0,107,35,29
4,4,9,0,0,1,15,1,3,4,1,19,0,2,1,12,2,229,41,33
14,8,22,1,0,3,275,4,0,11,13,28,34,5,8,13,6,718,123,117
56,2,108,6,0,11,624,25,1,45,57,200,102,55,55,141,20,2400,891,767
7,6,10,1,0,1,53,5,0,5,3,16,4,3,2,9,2,204,66,51
6,0,18,2,0,3,102,5,0,12,11,29,29,7,7,8,3,509,147,121
7,3,16,0,0,2,57,2,5,6,7,23,8,4,3,15,2,255,81,43
6,0,12,0,0,2,72,1,1,1,6,13,6,2,8,6,1,270,51,55
34,1,66,5,0,5,281,11,0,16,33,125,50,28,35,63,14,1446,381,358
5,1,10,1,0,1,61,3,0,2,1,9,9,4,5,0,1,256,69,119
14,0,52,9,3,8,206,7,1,24,28,61,43,30,23,25,17,825,261,249
29,2,10,3,0,3,52,8,2,8,3,23,11,4,3,3,1,235,70,105
17,4,33,2,0,4,140,7,0,7,7,77,22,15,18,42,9,656,236,177
15,0,41,11,0,10,264,7,7,23,23,88,68,22,23,33,19,1170,382,288
18,7,18,0,0,1,129,7,0,9,4,26,18,3,11,11,2,363,83,94
16,2,1,0,0,3,16,1,1,1,3,9,5,3,1,1,0,35,16,34
16,4,88,5,0,3,379,10,2,18,26,84,53,11,30,27,4,1284,389,242
11,2,10,0,0,1,42,1,1,11,5,16,14,5,5,4,0,165,56,39
11,0,15,1,0,1,47,7,0,5,4,23,7,9,4,11,6,311,63,114
10,0,6,1,0,1,26,2,0,2,3,11,10,4,1,1,1,143,47,53
3,1,1,0,0,1,7,1,0,0,0,2,4,1,1,0,0,24,10,4
8,0,14,3,0,3,87,8,1,4,8,30,19,5,11,13,2,370,114,96
6,0,8,1,0,1,27,2,2,3,4,7,5,2,4,2,0,134,52,56
35,0,51,2,0,7,274,11,6,23,27,95,38,7,34,19,2,1081,345,278
8,1,2,0,0,2,10,1,0,2,3,11,2,8,2,5,1,126,28,80
13,1,12,0,0,3,89,5,3,5,4,19,10,4,9,2,3,228,64,84
26,2,1,0,0,1,17,1,0,2,0,5,4,0,1,0,0,36,6,12
9,3,8,0,0,1,112,4,0,5,7,9,13,4,5,3,2,277,59,92
110,1,128,15,1,7,1001,28,0,64,32,251,106,60,56,87,22,2728,781,782
37,1,56,2,0,5,157,7,19,14,26,98,34,27,22,43,23,832,242,226
106,1,186,17,0,11,648,23,1,58,60,273,118,49,55,127,22,2983,1036,1019
24,0,16,1,0,2,74,8,3,3,12,42,15,10,12,7,7,315,106,112
14,0,6,0,0,1,435,4,0,6,2,15,14,0,4,0,5,207,50,57
5,1,2,0,0,1,7,1,0,0,0,2,4,0,0,0,0,17,6,1
7,0,2,0,0,1,4,1,2,0,0,4,4,7,0,0,0,21,6,9
8,2,10,0,0,3,40,1,7,3,5,13,6,2,1,7,0,123,35,25
7,0,14,0,0,1,33,3,0,3,1,11,7,1,2,3,4,92,37,57
21,1,17,1,0,2,58,7,0,2,3,25,12,9,5,5,2,221,63,73
4,4,0,0,0,1,16,1,0,0,1,4,3,3,1,0,2,63,17,58
25,0,12,2,0,1,98,5,8,5,14,28,16,4,10,5,2,481,129,228
8,0,1,0,0,1,11,1,0,1,2,1,4,2,0,1,0,70,12,18
36,0,113,9,0,1,336,16,4,28,42,127,52,20,45,47,13,1565,505,404
29,0,9,0,0,4,46,7,0,5,2,23,13,4,5,11,4,242,67,67
9,1,1,0,0,1,16,3,1,1,2,3,4,0,0,1,0,54,9,10
12,1,4,2,0,2,23,2,0,1,5,13,9,5,0,5,0,104,27,33
7,0,5,0,0,1,24,1,0,3,5,4,3,2,6,4,0,120,28,89
43,2,37,2,0,2,256,13,0,15,8,46,34,8,11,6,12,668,169,180
8,0,1,0,0,1,9,2,1,0,1,3,4,0,0,0,2,32,6,8
310,0,677,217,2,24,1768,108,11,262,242,1347,573,421,329,713,148,9644,3923,3251
11,0,10,0,0,1,43,3,0,3,2,13,4,6,3,3,0,197,53,84
14,4,70,2,0,5,204,3,3,25,22,90,35,14,31,28,12,1033,299,306
62,0,202,59,0,10,902,28,0,63,88,347,184,105,131,175,49,3606,1580,1322
27,1,28,3,0,0,174,5,0,6,10,41,30,18,18,15,4,622,179,141
13,4,11,0,0,3,47,5,0,0,7,25,8,2,7,4,0,248,51,79
17,4,35,2,0,2,110,5,1,9,12,41,13,6,14,10,3,409,149,147
5,0,9,0,0,1,76,1,0,6,4,19,11,4,7,6,1,245,73,72
14,0,41,4,0,1,181,4,1,18,24,51,30,6,38,21,4,786,297,222
28,0,20,1,0,1,73,2,1,4,6,33,6,1,13,11,1,284,93,85
9,7,19,2,0,2,87,1,0,6,9,52,11,6,12,10,3,306,98,96
18,5,40,1,0,3,122,6,2,11,9,47,24,11,29,25,7,506,195,162
24,0,7,0,0,1,52,2,0,4,7,16,7,5,3,13,0,184,48,61
32,1,82,12,0,4,393,14,3,41,51,158,80,57,67,81,26,1582,596,420
15,0,3,0,0,1,19,2,2,4,1,12,13,4,4,0,0,143,28,34
44,2,97,10,0,9,399,12,0,34,47,141,98,65,51,78,25,2022,546,481
6,0,10,0,0,1,19,0,0,4,1,6,4,1,5,4,1,92,36,31
3,0,23,0,0,2,58,2,0,7,6,23,13,3,4,2,1,315,78,46
7,0,18,0,0,3,94,3,2,6,8,34,16,3,7,7,3,442,118,155
23,20,85,4,0,4,384,10,1,26,44,124,61,16,34,39,8,1739,460,434
7,0,2,0,0,1,22,4,0,2,1,4,8,1,1,1,1,48,26,33
59,0,216,23,0,8,813,18,1,101,91,326,212,84,99,146,49,4364,1500,1179
16,1,54,4,0,2,152,5,0,14,18,50,32,5,14,12,5,649,242,186
9,0,1,0,0,1,3,1,0,0,0,2,5,0,0,0,0,30,7,11
8,0,8,1,0,1,60,3,1,2,10,20,11,1,13,7,4,282,67,49
29,2,25,0,0,1,127,4,0,7,5,34,15,5,10,5,6,428,95,117
18,1,66,5,0,7,349,7,0,20,21,112,53,25,27,33,9,1199,364,238
5,1,14,1,0,2,86,3,0,3,6,26,23,5,15,6,2,496,147,171
80,2,140,31,0,16,568,20,8,53,84,316,159,132,77,129,57,2896,1081,926
86,6,395,34,0,11,1122,42,3,108,161,722,279,125,144,331,74,6421,2355,1691
10,0,5,0,0,1,41,2,2,4,0,12,6,1,1,1,0,89,11,24
9,0,2,0,0,1,10,2,1,1,1,5,5,1,2,0,1,45,9,8
5,0,5,0,0,1,317,4,1,6,1,7,11,4,3,1,0,174,21,25
36,0,58,2,0,5,384,5,0,15,18,93,42,14,16,32,9,1135,378,255
11,0,27,1,0,2,178,6,0,16,16,48,29,4,16,12,6,792,207,168
41,1,39,4,0,1,163,4,8,11,25,70,42,11,11,17,5,881,269,267
32,1,27,1,0,5,185,12,24,8,20,91,33,19,20,36,14,867,256,223
37,5,50,0,0,3,253,3,0,9,12,56,31,10,23,27,7,503,183,170
33,3,24,6,0,4,92,6,2,15,29,43,31,13,15,12,5,542,166,205
13,2,42,1,0,2,164,5,0,7,17,84,32,19,19,17,1,563,222,178
4,0,5,0,0,1,18,3,0,1,5,13,8,0,3,2,1,94,28,29
5,2,16,0,0,3,57,3,0,1,10,18,19,10,8,7,2,258,78,81
63,5,101,8,0,6,316,14,0,19,49,189,57,51,56,66,16,1365,664,453
5,2,9,0,0,1,50,4,0,4,10,15,13,5,4,6,4,207,53,97
54,3,156,18,0,6,520,15,0,51,59,334,101,58,74,161,19,2481,980,657
8,1,13,2,0,2,114,7,0,4,15,36,26,6,16,9,6,438,134,145
9,0,11,1,0,1,50,2,0,3,4,14,15,2,8,1,1,224,60,75
3,0,4,1,0,1,14,1,0,1,6,6,5,4,2,2,0,34,14,15
5,0,5,0,0,2,16,3,0,1,9,11,6,5,3,2,1,49,21,35
41,1,87,13,0,3,266,10,0,29,55,148,66,40,24,68,19,1459,497,404
7,3,13,0,0,1,89,4,0,2,3,17,10,8,7,6,1,181,68,69
73,5,119,21,0,6,357,16,0,25,55,187,95,47,68,104,17,1472,688,525
17,2,43,5,0,3,245,1,0,18,24,65,48,12,9,33,7,1047,246,250
12,0,27,3,0,3,61,5,0,2,18,33,23,5,4,14,4,316,97,112
26,2,133,6,0,7,278,8,1,22,34,208,56,42,36,63,31,1683,618,551
23,0,1,0,0,1,11,2,1,1,1,5,3,3,0,1,1,59,10,19
12,5,11,1,0,1,64,3,0,0,12,18,38,6,4,3,2,236,79,173
14,3,36,2,0,1,109,6,0,7,22,51,36,19,9,21,4,513,215,212
31,12,51,8,0,4,190,10,2,14,45,126,75,26,44,55,14,1047,510,686
91,6,254,39,0,7,606,23,1,62,67,354,161,97,72,201,72,2794,1227,907
18,2,39,1,0,2,116,6,1,10,17,59,41,22,35,24,7,612,211,219
61,0,32,3,0,2,212,4,0,8,21,48,33,15,21,37,6,481,202,198
6,1,18,1,0,1,68,5,0,1,7,24,10,6,2,5,2,229,58,87
11,4,10,0,0,1,21,2,0,1,3,6,8,9,0,5,0,107,34,29
5,0,3,0,0,1,20,1,0,0,4,4,5,3,0,2,0,43,13,21
32,1,15,0,0,3,29,3,0,6,4,25,15,6,3,18,2,279,82,55
36,3,63,6,0,13,231,14,0,27,61,183,81,66,65,76,16,1444,455,573
7,0,0,0,0,1,1,1,0,1,2,4,5,0,1,0,0,26,8,5
3,0,7,0,0,1,20,1,2,1,2,5,7,5,0,3,0,88,24,28
14,2,32,4,0,2,150,6,2,8,15,52,22,10,18,42,6,476,175,146
10,0,0,0,0,1,11,1,0,1,4,3,5,2,0,0,1,36,10,9
21,2,84,3,0,2,311,6,0,20,26,132,67,26,59,74,13,1155,393,352
14,1,35,1,0,2,176,5,2,9,22,67,32,13,13,24,6,520,234,191
23,0,49,4,0,3,169,5,0,13,24,86,46,23,23,38,4,691,292,252
6,0,3,0,0,2,8,1,1,0,3,6,6,6,6,1,2,53,24,33
512,10,5179,802,16,50,7939,297,7,1231,958,5334,2106,1823,1391,2753,832,38182,15336,11873
9,17,3,1,0,2,35,1,2,0,7,10,10,4,8,3,1,119,31,45
23,0,11,1,0,2,47,4,0,3,6,20,12,6,11,13,4,146,50,59
20,0,13,5,0,2,60,5,0,3,7,14,15,6,3,9,3,275,64,58
19,8,28,4,0,3,131,4,2,10,19,45,60,16,15,22,4,540,239,298
18,3,14,1,0,2,86,5,1,11,14,52,59,19,9,9,11,644,161,158
26,3,25,2,0,2,61,2,0,5,12,26,16,8,7,13,3,361,110,90
16,2,58,3,0,2,250,9,1,17,40,81,38,12,10,53,7,743,261,225
45,6,40,2,0,4,141,2,0,7,25,41,27,11,20,14,3,676,194,194
28,2,29,0,0,3,87,4,1,6,13,37,17,6,15,25,6,380,126,118
8,1,6,0,0,1,12,4,0,1,1,3,5,3,0,1,0,63,20,25
40,1,73,2,0,7,174,6,0,10,43,79,58,17,41,30,8,1028,339,387
5,0,10,1,0,3,58,2,0,5,11,20,23,5,2,3,6,397,102,97
18,0,7,0,0,1,30,1,0,1,6,8,12,6,4,3,1,114,50,36
118,3,173,39,1,4,858,25,1,65,112,346,174,106,105,172,44,3476,1055,878
3,1,4,0,0,1,23,1,0,2,5,11,8,4,0,3,1,90,40,29
17,3,37,5,0,2,118,5,9,7,15,54,31,17,15,12,8,520,194,200
3,0,3,0,0,1,7,1,0,0,0,3,4,2,0,0,0,20,7,6
5,1,5,0,0,2,29,5,0,2,6,16,11,5,2,1,3,144,44,80
26,1,30,1,0,4,154,5,1,2,15,32,14,11,16,23,5,328,142,131
21,0,16,4,0,2,79,4,0,12,10,27,22,11,24,18,8,565,121,271
5,0,7,1,0,2,38,4,0,2,3,8,12,2,2,2,2,116,30,28
31,0,4,0,0,1,21,2,0,1,6,16,7,1,3,2,1,87,29,58
8,0,4,0,0,2,13,2,0,0,2,6,5,6,3,1,0,64,25,33
100,3,215,42,0,6,995,22,0,41,99,281,147,76,80,109,43,2794,1087,807
13,3,51,3,0,3,148,4,0,10,21,61,26,11,28,13,8,757,226,276
15,2,15,1,0,2,96,4,3,2,6,19,14,6,7,5,3,273,97,80
54,5,39,3,0,9,262,6,1,11,35,83,62,20,30,34,15,1209,342,360
123,9,383,75,2,58,1011,60,1,215,248,719,388,428,458,340,161,6061,2707,3003
7,1,16,3,0,1,41,3,0,4,10,22,12,5,3,8,2,255,81,89
5,1,6,1,0,1,20,3,0,0,1,8,6,5,1,3,1,60,23,23
42,1,274,17,0,7,1069,5,1,53,126,222,168,134,134,54,120,3966,1378,1050
17,0,2,0,0,1,3,1,0,0,1,5,4,2,1,1,0,30,4,5
8,0,7,1,0,1,56,4,0,2,7,13,12,4,6,5,1,204,59,59
38,0,110,10,2,5,310,10,2,31,58,178,63,38,55,65,26,2474,594,722
12,0,33,3,0,3,163,3,0,9,19,47,21,8,10,29,7,504,169,106
5,0,2,0,0,1,36,1,0,1,7,9,8,6,1,1,1,89,23,31
3,1,2,0,0,1,11,2,2,2,2,6,7,2,0,1,1,53,10,9
26,5,53,1,0,2,110,8,0,8,17,81,35,13,15,20,5,547,217,175
17,1,51,6,0,5,368,6,0,18,24,77,39,18,29,32,12,853,284,247
25,3,13,2,0,3,134,5,7,1,8,26,27,8,6,11,2,433,125,129
3,0,2,0,0,2,17,2,1,2,6,1,4,4,3,0,0,31,9,38
17,1,3,0,0,3,25,2,0,2,3,3,7,0,2,2,2,33,21,25
19,4,56,4,0,5,292,14,0,16,28,102,57,27,31,45,12,1028,371,356
35,6,73,12,0,5,249,14,1,18,42,143,85,54,45,41,18,1691,562,510
20,0,20,4,0,2,194,3,0,5,17,36,18,12,6,8,5,432,147,196
19,3,50,5,0,4,128,7,2,9,33,80,48,36,20,28,12,708,331,222
23,2,28,0,0,4,121,3,0,5,14,45,20,12,11,19,4,481,108,202
28,0,16,1,0,3,114,3,1,4,25,45,17,8,18,12,10,479,156,130
14,1,19,2,0,2,75,4,2,5,13,49,22,9,11,15,6,329,147,141
6,0,4,0,0,1,15,1,0,1,2,5,9,3,7,0,0,71,25,36
6,2,16,0,0,1,40,2,0,0,7,25,17,5,6,8,3,212,80,67
23,2,56,0,0,5,301,7,0,14,26,83,45,16,25,30,10,913,315,257
10,1,11,0,0,3,24,4,0,3,3,16,11,8,1,3,5,172,53,47
94,3,324,56,0,10,742,31,0,99,123,599,196,104,86,234,67,3416,1370,854
34,6,34,4,0,8,215,11,2,24,30,92,59,28,31,32,30,910,318,406
9,1,4,1,0,1,30,1,0,0,9,9,11,5,3,5,2,144,51,81
15,5,21,0,0,5,85,5,0,8,17,46,30,9,13,13,5,571,177,144
147,20,386,33,0,16,1429,57,3,148,224,654,528,366,282,151,191,9038,2959,2716
224,6,893,89,2,17,2741,43,1,250,334,792,632,356,415,261,338,11515,4503,3492
11,3,4,0,0,2,45,1,0,0,4,14,12,5,11,1,0,162,40,60
15,14,50,2,0,2,116,7,3,14,18,59,54,20,14,12,8,635,240,252
143,8,475,30,0,25,2677,31,0,128,248,430,473,190,266,149,106,9209,3176,2035
10,0,14,1,0,1,58,3,1,4,10,21,14,5,3,3,6,128,57,65
7,0,4,1,0,1,36,4,0,3,10,18,14,3,7,1,1,176,49,79
