"actividades legislativas","Actividades primarias","Comercio al por mayor","construcción","Corporativos","Enegía ","Industria manufactureras","Información en medios masivos","Minería ","Servicios de apoyo ","Servicios de esparcimiento","Salud","Servicios educativos","Servicios financieros y seguros","Servicios inmobiliarios ","Servicios profesionales y técnicos ","Transporte","Comercio al pormenor","Servicios no gubernamentales","Servicios de alojamiento y alimentación"
15,2,17,3,0,2,49,5,0,2,9,21,20,7,13,7,4,208,102,75
23,9,30,6,0,2,199,10,9,8,16,61,52,14,23,16,7,592,251,389
177,3,368,196,1,15,905,67,10,126,147,1005,318,263,182,366,114,3513,2044,1817
19,3,24,5,0,1,150,7,1,6,21,49,29,8,16,12,3,339,133,181
11,7,16,3,0,3,83,6,0,7,14,25,26,7,14,7,5,352,164,165
28,1,43,8,0,1,152,6,2,10,21,56,46,25,30,17,10,576,248,273
8,1,4,0,0,4,19,3,0,0,5,10,7,6,2,3,2,103,48,66
91,67,230,90,5,16,577,41,17,120,109,351,257,246,217,181,734,3515,1535,1846
4,0,15,5,0,1,35,2,2,5,4,12,9,10,7,2,3,192,87,96
54,33,219,35,0,13,596,21,5,41,79,216,178,86,101,89,45,2544,1141,1447
37,3,140,107,0,4,610,19,12,73,83,272,188,89,103,157,27,2263,1357,1269
7,3,19,0,0,1,120,3,0,7,8,13,19,3,7,4,10,351,94,109
14,7,26,1,0,4,133,3,0,10,10,52,31,9,17,10,12,739,162,191
21,25,20,4,0,3,110,6,0,13,12,28,17,7,6,12,2,455,142,178
15,0,13,0,0,1,156,3,0,9,7,29,19,5,4,6,9,871,146,144
9,0,9,0,0,1,26,3,0,2,2,11,17,0,2,1,0,225,46,38
6,0,10,0,0,2,61,1,0,5,2,11,12,0,0,1,5,175,35,57
4,1,4,0,0,2,1145,0,0,3,0,2,22,3,0,1,1,135,31,32
11,0,60,0,0,1,219,3,0,29,12,40,32,12,6,11,13,840,200,258
37,70,76,0,0,11,289,14,0,19,27,92,62,21,21,30,29,1269,387,465
7,0,0,0,0,1,8,0,0,1,1,1,4,2,0,0,0,16,5,7
8,0,7,0,0,1,22,0,0,4,3,9,5,0,0,1,0,118,28,29
27,0,53,11,0,6,1101,6,0,18,27,79,53,9,37,20,19,1450,447,362
36,0,43,0,0,2,120,3,0,16,15,60,29,10,14,14,17,901,189,154
7,0,5,0,0,1,63,0,0,5,6,7,11,2,1,0,2,293,31,30
27,0,17,1,0,4,237,10,0,15,42,63,43,13,16,12,17,1153,393,330
24,21,8,1,0,2,24,2,0,6,3,15,9,3,1,5,5,170,62,76
45,1,81,7,0,8,608,15,3,32,43,147,88,41,55,48,43,1962,648,535
5,0,3,0,0,1,94,2,0,9,4,19,11,0,9,1,3,202,56,66
123,2,304,52,0,8,1171,29,0,82,142,540,192,98,143,296,101,6779,2068,1805
12,15,30,1,0,4,207,3,0,11,16,22,27,8,5,5,9,623,173,241
28,2,11,1,0,3,84,6,0,7,8,38,27,11,9,7,8,458,130,143
11,1,4,0,0,1,16,1,0,2,3,12,3,1,0,0,3,187,33,29
12,0,22,0,0,1,115,1,0,10,5,13,5,7,3,4,2,812,80,155
3,0,1,0,0,1,33,0,0,3,3,3,21,1,0,0,0,309,61,17
6,0,5,0,0,1,39,2,0,3,2,18,10,1,1,1,0,130,35,26
12,0,5,0,0,2,111,2,0,7,3,10,12,3,3,2,1,265,59,44
